question,base,read
스페인령 아메리카에서는 누구의 공격에 대응하는 것이 주요한 문제였나?,영국,프랑스
이대우를 중심으로 모인 학생들은 무엇에 항변하기 위해 시위대를 조직했는가?,일본인 교사들,생체실험
호르몬의 주요 생성장소가 위치한 곳은?,내장 지방,코펜하겐
볼세비키에 참가해 볼세비키의 군적 역량을 강화시킨 사람은 누구인가?,레온 트로츠키,이종린
암컷류가 수중에 생식을 하거나 알주머니를 다른 물체에 붙이는 생식 방법은?,체외수정,유성생식
단어 '토레혼'의 어근은?,'거대한 탑',음성상징적 동사
"손턴 와일더 사후, 최고의 명작으로 손꼽히는 작품은 무엇인가?",오군태수(吳郡太守),<밤으로의 긴 여행>
투자 초기 비용보다 매출액이 적더라도 흑자로 판단할 수 있는 기준은?,방출 기준,상대적 손실 가치
최고령 초등학생으로 기네스북에 올라있는 사람은?,탠,알프레드 베버
초등학생 일기검사의 인권침해 여부를 판단하는 주체는?,교육인적자원부,국가인권위원회
마'를 피하기 위해 살몬 신전을 보낸 곳은?,라면,천공
법맥과 전등을 중시하면 스승없이 깨달음을 얻을 수 없다고 주장한 사람은?,성철(이영주),성철
정중부의 난 이전 병권을 장악한 집단은?,권문세족,명나라
불상에 대한 정보가 적혀있는 것은?,향좌측상에서 발견된 불상발원문,압수된 경비 장부
오두막의 첫 손님은 어떤 물건을 활용해 자살했는가?,수면제,채광창
프랑스군은 마렝고에서 어떤 나라의 군대와 마주하였나?,영국,오스트리아
첫 도입 당시 1013개가 있던 것은?,4개 국무경,249개 기업
병으로 인해 피렌체의 수많은 사람들이 죽어갔음을 언급한 사람은?,권태훈,요한
윤치호가 송도고등보통학교의 네 번째 교장을 맡게 된 해는?,1929년,1941년
"마오리언어와 영어, 뉴질랜드 수화를 공식 언어로 사용하는 나라는?",뉴질랜드,국제 수화
오스트레일리아의 새로운 개혁정책은 주위 어느 나라에 영향을 주었는가?,영국,전세계
통근특급이 걸림돌인 노선과 서로 평면교차하는 노선은 어디인가?,모노레일,트렌턴 선(Trenton Line)
밀러허긴스가 법학을 전공한 곳은?,신시내티대학교,빈 대학교
합동조사반에 의하면 사고의 원인에는 과적 외에 어떤 것이 있는가?,가설 지주 버팀대 기초,정원 초과
셀레우쿠스에게 왕좌를 계승받은 사람은?,안티오쿠스,기게스
미시시피 강으로 인해 멕시코 만류가 생겼다는 주장이 힘을 잃은 이유는 멕시코 만류가 무엇으로 알려졌기 때문인가?,세계 최대의 해류,세계 최대
맥국이라는 명칭을 알린 사람은?,운정동,시드니 반 덴 버그
학생들이 일본인 선생들을 몰아내기 위해 동맹휴학 시위를 일으킨 해는 ?,1924년,1929년
캐릭터의 다친 장면이 유일하게 나오지 않는 단계는?,레벨 업,해 (지지)단계
화순 유마사 해련탑은 누구의 무덤인가요?,왕,"화순 최씨의 종중 재실로, 최한정(1427∼1486)과 그의 아들인 최중온"
루이가 사망하게 될 원인은 무엇인가?,요로감염증,불치병
이토 히로부미가 정치적 대립관계인 오쿠마 시게노부에게 준 관직은?,외무대신,추밀원의장
폭스바겐이 곤충명을 이름으로 지은 차량은?,"""실버 버드(Silverbird)""",컨셉트 C
대원씨아이가 어떤 회사와 계약하여 한국에서 뉴타입을 출간할 수 있었나?,일본 가도카와 쇼텐,무역 회사
여운형이 경성헌병대에서 풀려난 날짜는?,9월 12일,8월 18일
알렉스의 직업은?,강력범죄 특별수사관,변호사
중국 공산당원과 가족의 미국 입국 금지 방안 검토와 관련된 마이크 폼페이오 장관의 입장을 보도한 언론은?,뉴욕타임스,미국의 소리 (VOA)
역할을 가장 먼저 구체화 시킨 사람은?,를르네 지카르트,브라이언
이용문이 육군본부의 장교들과 의견을 나눴던 곳은?,간인노미야 고토히토,스위스 몽페를랭
미네소타주 경찰이 오마르 히메네스를 체포한 날짜는 언제인가요?,네스를 속여서 탈주했다.,5월 29일
윤락행위등방지법이 전문 개정되었던 해는?,1961년,1902년
사회민주주의와 민주사회주의를 합친 사상을 가진 집단의 우두머리는 누구인가?,요시노 사쿠조,세르게이 미로노프
체임벌린에 의해 무역부의 회장 자리를 받게 된 사람은?,스탠리 볼드윈,서재필
어머니를 죽음에 이르게 한 것은 아들이 무엇처럼 행동했기 때문인가?,주정뱅이,손님
세니와 대국 사무관들은 어느 편과 힘을 합치기로 했는가?,아야 한다는 것이다.,당파
연구자들이 설계된 실험실을 이용하는 것은 무엇을 위해서인가?,전세계의 모든 악성 바이러스,우주 인공 기지
주인규는 무엇 때문에 스스로 생을 마감하게 되는가?,영자가 쏜 총,불의의 교통 사고
2008년 당시 몰디브의 부통령은?,와히드 박사,앨 고어
Music Box앨범 이후 다음 앨범의 작업을 시작한 연도는?,2004년,2005년
코코넛으로 인해 매년 사람이 죽는다는 설화를 인용한 인물은?,상어 공격 전문가,피터 발스 박사
인쇄사전에서 쉽게 읽히게 하기 위해 사용하는 것은?,약물,EM 알고리즘
인간에게 가장 익숙한 크기의 개념은 무엇인가요?,인체의 치수,공기
급전궤도는 보통 무엇으로 만들어져 있는가?,도로면,노주(露柱)
"한중을 공격 시, 군량과 운송이 속한 조조의 부대는?",중군,관중군
경서교회를 설립한 사람이 태어난 도시는 어디인가?,평안북도 의주읍,전라북도 전주
외국인 근로자 고용 등에 대한 법률'의 목적은?,고용허가제,‘외국인 근로자 고용 등에 관한 법률’
장정기가 들어있는 우산이끼의 가지는?,이끼,"우산이끼는 암수딴그루로 봄에서 여름에 걸쳐 생식 기관을 만드는 가지(자기탁(암그루)·웅기탁(수그루))가 생기는데, 이들은 엽상체의 일부가 변형된 것이다. 자기탁은 3-5cm 되는 자루 끝에 손가락 모양을 한 8-10개 정도의 돌기가 방사상으로 나와 있는 구조를 이루는데, 돌기와 돌기 사이에는 몇 개씩의 장란기가 생긴다. 한편, 웅기탁"
이타미 역이 종착역이었을 때 존재했지만 지진 이후 없어진 것은?,건늠선,"""통근 전용 출구"""
높은 기온과 과식으로 인해 유발되는 증상은 무엇인가?,동상,갈증
히틀러의 권한을 합법적으로 확대시켜준 국가 기관은?,미국 정보부(OSS),독일
가톨릭 교회에서 주교에게 '최고사제'의 자격을 주는 직함의 이름은?,서방 총대주교,"""야코부스 바라데스"""
퍼시벌에게 앙심을 품고 총을 쏜 인물은?,버논,아와드 나바브 슈자 웃다울라
